Timestamp,CONFORME,Are you:,Are you a Globe user?,What Globe services do you currently use? (Check all that apply),"Which mall(s) do you usually visit? (ex. MOA, SM Sta. Mesa, Robinsons Manila, etc.) (Can provide more than 1)","Have you ever visited a Globe or other telco store (like Smart, DITO, etc.)?  ","If yes, What are your usual reasons for visiting the store? (Check all that apply)",Have you encountered any challenges or difficulties when visiting a Globe / Telco store? ,What kind of challenges/difficulties have you experienced? (Check all that apply),"If answered ""Other"", please specify:",What can telco companies do to serve Deaf customers better? (You can choose more than one.) ,"If answered ""Other"", please specify:",Have you ever met a Deaf staff working in mall stores?,How would you feel if you saw Deaf people working at a Globe or telco store? ,"If answered ""Other"", please specify:",Do you think having Deaf employees in stores can help Deaf and hard-of-hearing customers communicate better? ,Would you like to work for a telco company in the future? ,Any other comments or suggestions for Globe or other telco companies? 
11/8/2025 13:34:38,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),SM MEGA MALL,Yes,"Paying bills, Availing promos or plans, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating, Difficulty explaining service/s or technical issues",Other,"Hire Deaf staff / assistants, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",Other,No,Happy and proud,Other,"Yes, very helpful",Yes,All technology companies
11/8/2025 13:34:51,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),My apartment ,No,Buying or loading SIM cards,No,Difficulty explaining service/s or technical issues,,Hire Deaf staff / assistants,,Yes,Happy and proud,,"Yes, very helpful",Yes,N/A
11/8/2025 13:35:03,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),Robinson Malls Antipolo,Yes,Paying bills,No,Others (please specify): _____________,N/A,Use more PWD-friendly visual signs or digital displays,,Not sure,Other: ___________,Wala,Not really,No,Normal and handle
11/8/2025 13:35:46,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),CSB ,Yes,Buying or loading SIM cards,Yes,"Difficulty communicating with staff or customer support, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating",,Train hearing staff in basic sign language,,No,Comfortable,,"Yes, very helpful",Yes,Globe need new unique system. 
11/8/2025 13:35:49,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),Market! Market! and SM Aura,Yes,"Paying bills, Device or account concerns",Yes,Difficulty communicating with staff or customer support,,Train hearing staff in basic sign language,,Yes,Neutral,,"Yes, very helpful",Yes,Both Globe and Smart
11/8/2025 13:35:51,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Sm North EDSA,Yes,Device or account concerns,No,Difficulty communicating with staff or customer support,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Happy and proud,,"Yes, very helpful",No,N/a
11/8/2025 13:35:51,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Megamall,Yes,Buying or loading SIM cards,Yes,Long waiting time or unclear queueing process,NA,"Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Other: ___________,NA,Not really,Yes,NA
11/8/2025 13:36:14,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Postpaid),"Candon City, Ilocos Sur",Yes,"Paying bills, Availing promos or plans",Yes,"Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process",,"Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Happy and proud,,"Yes, very helpful",No,No comment 
11/8/2025 13:36:14,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),"Vito cruz,taft manila",Yes,Buying or loading SIM cards,Yes,Difficulty communicating with staff or customer support,N/A,Use more PWD-friendly visual signs or digital displays,N/A,Not sure,Comfortable,N/A,"Yes, very helpful",Maybe,N/A
11/8/2025 13:36:15,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),"Robinson Manila, Gateway, Alimall, SM Cubao, SM Manila, Glorietta",No,Other,Yes,"No staff available who understand sign language, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Maybe,No comment
11/8/2025 13:36:47,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,I used Smart ,SM San Lazaro,No,"Availing promos or plans, Device or account concerns",No,"Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues",I never experience that work non-voice. I am the barista only,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,N/A
11/8/2025 13:37:20,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),Greenbelt & Glorietta Makati ,Yes,Paying bills,Yes,Difficulty accessing online or mobile services,,Train hearing staff in basic sign language,,No,Neutral,,Maybe helpful,Yes,Hearing people need to know about deaf community and deaf culture 
11/8/2025 13:37:24,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),Robinsion Galleria ,No,Buying or loading SIM cards,No,Staff having hard time to answer questions and concerns,Other,Add text/chat support in-store that are PWD-friendly,Other,No,Neutral,Other,Not really,Yes,Hope we can help them 
11/8/2025 13:37:31,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,"Mobile (Prepaid), Mobile (Postpaid), Broadband / Internet","SM Masinag, Sta Lucia, SM Las Pinas",Yes,Device or account concerns,Yes,Long waiting time or unclear queueing process,,Add text/chat support in-store that are PWD-friendly,,Yes,Happy and proud,,"Yes, very helpful",Maybe,N/A
11/8/2025 13:37:35,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Mobile (Postpaid)",Somewhere ,Gomo ,Buying or loading SIM cards,No,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Lack of visual information or display guides when communicating, Difficulty explaining service/s or technical issues",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Not sure,Grateful,,"Yes, very helpful",Yes,Cyberbacker company 
11/8/2025 13:38:27,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), PLDT Wifi",CSB,USE PLDT,Paying bills,Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Staff having hard time to answer questions and concerns, Lack of visual information or display guides when communicating",No,Train hearing staff in basic sign language,No,No,Grateful,No,"Yes, very helpful",Maybe,No
11/8/2025 13:38:38,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Robinsons manila,Yes,Other,Yes,"No staff available who understand sign language, Difficulty accessing online or mobile services",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Comfortable,,"Yes, very helpful",Yes,N/A
11/8/2025 13:38:40,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),"Glorietta, SM Ayala",No,Buying or loading SIM cards,No,Others (please specify): _____________,I didn’t experience issue yet. ,Add text/chat support in-store that are PWD-friendly,I didn’t experience issue yet. ,No,Neutral,,Maybe helpful,Maybe,None
11/8/2025 13:39:19,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,Mobile (Prepaid),CSB ,SMART,Buying or loading SIM cards,Yes,"Staff having hard time to answer questions and concerns, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Others (please specify): _____________",No,☐ Other: ___________,No,No,Happy and proud,No,"Yes, very helpful",No,No
