Timestamp,CONFORME,Are you:,Are you a Globe user?,What Globe services do you currently use? (Check all that apply),"Which mall(s) do you usually visit? (ex. MOA, SM Sta. Mesa, Robinsons Manila, etc.) (Can provide more than 1)","Have you ever visited a Globe or other telco store (like Smart, DITO, etc.)?  ","If yes, What are your usual reasons for visiting the store? (Check all that apply)",Have you encountered any challenges or difficulties when visiting a Globe / Telco store? ,What kind of challenges/difficulties have you experienced? (Check all that apply),"If answered ""Other"", please specify:",What can telco companies do to serve Deaf customers better? (You can choose more than one.) ,"If answered ""Other"", please specify:",Have you ever met a Deaf staff working in mall stores?,How would you feel if you saw Deaf people working at a Globe or telco store? ,"If answered ""Other"", please specify:",Do you think having Deaf employees in stores can help Deaf and hard-of-hearing customers communicate better? ,Would you like to work for a telco company in the future? ,Any other comments or suggestions for Globe or other telco companies? 
11/13/2025 16:53:36,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,NA,sm moa,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Grateful,,Maybe helpful,Yes,please know deaf community
11/13/2025 16:54:32,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Postpaid),MOA,Yes,Other,Yes,"Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process",,Hire Deaf staff / assistants,,No,Comfortable,,"Yes, very helpful",Yes,na
11/13/2025 16:55:12,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Postpaid),Ayala malls,Yes,"Paying bills, Buying or loading SIM cards",Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,"Yes, very helpful",Yes,please hire deaf
11/13/2025 16:55:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Robinsons Dasma,Yes,"Paying bills, Buying or loading SIM cards",Yes,Difficulty explaining service/s or technical issues,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,Yes,Happy and proud,,"Yes, very helpful",Yes,staff needs to know deaf culture
11/13/2025 16:55:54,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Robinsons Manila,Yes,Other,Yes,Difficulty explaining service/s or technical issues,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Comfortable,,Not really,Maybe,N/a
11/13/2025 16:56:31,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,no,eastwood,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Others (please specify): _____________,not priority,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",priotity pwd,No,Happy and proud,,"Yes, very helpful",Yes,N/A
11/13/2025 16:56:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Gateway Cubao,Yes,Other,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,Hire Deaf staff / assistants,,No,Grateful,,"Yes, very helpful",Yes,hire deaf
11/13/2025 16:57:38,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet",Sm North Edsa,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,Hire Deaf staff / assistants,,No,Happy and proud,,Maybe helpful,Yes,N/a
11/13/2025 17:00:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,none,MOA,Yes,"Paying bills, Buying or loading SIM cards",Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,Hire Deaf staff / assistants,,No,Neutral,,"Yes, very helpful",Yes,employee need to know signs or communicate
11/15/2025 16:51:56,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),Trinoma,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Difficulty explaining service/s or technical issues,,Hire Deaf staff / assistants,,No,Grateful,,"Yes, very helpful",Yes,none
11/15/2025 16:52:41,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,"Mobile (Prepaid), Broadband / Internet","sm bacoor, robsinons manila",Yes,Other,Yes,Difficulty explaining service/s or technical issues,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Grateful,,"Yes, very helpful",Maybe,nothing
11/15/2025 16:52:52,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Prepaid),"ATC, Southmall",Yes,Buying or loading SIM cards,Yes,Others (please specify): _____________,slow,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,"Yes, very helpful",Yes,can use interpreter or hire if need
11/15/2025 16:53:35,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet","Greenbelt, Makati malls",Yes,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Surprised,,"Yes, very helpful",Yes,N/A
11/15/2025 16:53:36,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Prepaid),Sm north edsa,Yes,Other,No,Long waiting time or unclear queueing process,,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,"Yes, very helpful",Yes,Good globe and smart
11/15/2025 16:54:32,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Prepaid),mall of asia,Yes,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Grateful,,"Yes, very helpful",Yes,internship available for deaf
11/15/2025 16:55:12,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Broadband / Internet",moa,Yes,Other,Yes,Others (please specify): _____________,chat online dont like,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Grateful,,"Yes, very helpful",Yes,opportunity for us
11/15/2025 16:55:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,Yes,Mobile (Prepaid),MOA,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,"Yes, very helpful",Yes,Na
11/15/2025 16:55:54,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,Mobile (Prepaid),SM AURA,Yes,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Comfortable,,"Yes, very helpful",Maybe,OJT opportunity
11/15/2025 16:56:31,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet",alabang town center,Yes,Buying or loading SIM cards,Yes,Long waiting time or unclear queueing process,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,"Yes, very helpful",Yes,N/A
11/15/2025 16:56:37,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,x,moa,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Others (please specify): _____________,new update and news,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Neutral,,Maybe helpful,Yes,helpful if deaf hired
11/15/2025 16:57:38,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,Yes,"Mobile (Prepaid), Broadband / Internet",Sta Rosa Malls,Yes,Buying or loading SIM cards,Yes,Others (please specify): _____________,chat not good,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Yes,no
11/15/2025 17:00:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,No,smart,sm bacoor,Yes,Other,Yes,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Surprised,,Maybe helpful,No,Na
11/15/2025 17:20:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,dito sim,BGC,Yes,Other,Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,Not really,No,N/A
11/16/2025 13:00:18,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Employed,No,na,SM STA ROSA,No,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,Long waiting time or unclear queueing process,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Happy and proud,,"Yes, very helpful",Maybe,no
11/16/2025 13:18:02,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Other,No,N/A,Rob Manila,No,"Paying bills, Buying or loading SIM cards, Device or account concerns",No,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Surprised,,"Yes, very helpful",Yes,N/A
11/16/2025 16:00:47,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Prepaid),Sm Sta. mesa,Yes,Availing promos or plans,Yes,Long waiting time or unclear queueing process,,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Neutral,,"Yes, very helpful",Yes,opening of job in globe
11/16/2025 17:20:12,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,"Mobile (Prepaid), Broadband / Internet",alimall,Yes,Availing promos or plans,No,"Difficulty communicating with staff or customer support, Lack of visual information or display guides when communicating",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,Yes,Neutral,,"Yes, very helpful",Yes,N/A
11/19/2025 10:03:11,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Prepaid),MOA,Yes,"Paying bills, Buying or loading SIM cards, Device or account concerns",Yes,"No staff available who understand sign language, Lack of visual information or display guides when communicating, Long waiting time or unclear queueing process, Difficulty explaining service/s or technical issues, Difficulty accessing online or mobile services",,"Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly",,No,Happy and proud,,"Yes, very helpful",Maybe,be open to inclusive enviornment
11/24/2025 14:07:03,"I acknowledge that I have completely read and fully understand the above and agree to be bound thereby. I hereby release any and all claims against DLS-CSB, its officers, associates and/or affiliates for the abovementioned purposes.",Currently studying,Yes,Mobile (Prepaid),"MOA, Cubao",Yes,Availing promos or plans,Yes,"Difficulty communicating with staff or customer support, No staff available who understand sign language, Staff having hard time to answer questions and concerns, Difficulty explaining service/s or technical issues",,"Hire Deaf staff / assistants, Train hearing staff in basic sign language, Add text/chat support in-store that are PWD-friendly, Use more PWD-friendly visual signs or digital displays",,No,Happy and proud,,"Yes, very helpful",Yes,more deaf
